Date,s&p(log),vix
2021-03-17,0.002875205,19.23
2021-03-18,-0.014870521,21.58
2021-03-19,-0.000602921,20.950001
2021-03-22,0.00700056,18.879999
2021-03-23,-0.007660101,20.299999
2021-03-24,-0.005482304,21.200001
2021-03-25,0.005226551,19.809999
2021-03-26,0.016494414,18.860001
2021-03-29,-0.000868402,20.74
2021-03-30,-0.00316282,19.610001
2021-03-31,0.003615993,19.4
2021-04-01,0.011755774,17.33
2021-04-05,0.014335038,17.91
2021-04-06,-0.000974012,18.120001
2021-04-07,0.001474143,17.16
2021-04-08,0.004211758,16.950001
2021-04-09,0.007690316,16.690001
2021-04-12,-0.000196202,16.91
2021-04-13,0.003289166,16.65
2021-04-14,-0.00409618,16.99
2021-04-15,0.011033158,16.57
2021-04-16,0.003602253,16.25
2021-04-19,-0.005320582,17.290001
2021-04-20,-0.006825603,18.68
2021-04-21,0.009263025,17.5
2021-04-22,-0.009253352,18.709999
2021-04-23,0.010869424,17.33
2021-04-26,0.001780638,17.639999
2021-04-27,-0.000214942,17.559999
2021-04-28,-0.000845888,17.280001
2021-04-29,0.006740033,17.610001
2021-04-30,-0.007220644,18.610001
2021-05-03,0.002744266,18.309999
2021-05-04,-0.006700738,19.48
2021-05-05,0.000703291,19.15
2021-05-06,0.008132234,18.389999
2021-05-07,0.007346296,16.690001
2021-05-10,-0.010490499,19.66
2021-05-11,-0.008711732,21.84
2021-05-12,-0.021682768,27.59
2021-05-13,0.012099654,23.129999
2021-05-14,0.014807755,18.809999
2021-05-17,-0.002533244,19.719999
2021-05-18,-0.008553782,21.34
2021-05-19,-0.002947776,22.18
2021-05-20,0.010499444,20.67
2021-05-21,-0.000784127,20.15
2021-05-24,0.009862511,18.4
2021-05-25,-0.002127564,18.84
2021-05-26,0.001874974,17.360001
2021-05-27,0.00116472,16.74
2021-05-28,0.000768591,16.76
2021-06-01,-0.000492497,17.9
2021-06-02,0.00144587,17.48
2021-06-03,-0.003635298,18.040001
2021-06-04,0.008795294,16.42
2021-06-07,-0.000797029,16.42
2021-06-08,0.00017507,17.07
2021-06-09,-0.001825542,17.889999
2021-06-10,0.004641367,16.1
2021-06-11,0.001946594,15.65
2021-06-14,0.001813566,16.389999
2021-06-15,-0.002013706,17.02
2021-06-16,-0.005404787,18.15
2021-06-17,-0.000435732,17.75
2021-06-18,-0.013211435,20.700001
2021-06-21,0.013905201,17.889999
2021-06-22,0.005111429,16.66
2021-06-23,-0.001083847,16.32
2021-06-24,0.005794338,15.97
2021-06-25,0.003325072,15.62
2021-06-28,0.002312366,15.76
2021-06-29,0.000277311,16.02
2021-06-30,0.001327233,15.83
2021-07-01,0.005208055,15.48
2021-07-02,0.007472118,15.07
2021-07-06,-0.002023948,16.440001
2021-07-07,0.003353382,16.200001
2021-07-08,-0.008597867,19
2021-07-09,0.01121483,16.18
2021-07-12,0.003445215,16.17
2021-07-13,-0.003523029,17.120001
2021-07-14,0.001164292,16.33
2021-07-15,-0.003267569,17.01
2021-07-16,-0.0075675,18.450001
2021-07-19,-0.0159968,22.5
2021-07-20,0.015048847,19.73
2021-07-21,0.008208069,17.91
2021-07-22,0.00201463,17.690001
2021-07-23,0.010094319,17.200001
2021-07-26,0.00237942,17.58
2021-07-27,-0.004723619,19.360001
2021-07-28,-0.000186319,18.309999
2021-07-29,0.004197385,17.700001
2021-07-30,-0.005420682,18.24
2021-08-02,-0.001844595,19.459999
2021-08-03,0.008170019,18.040001
2021-08-04,-0.004643208,17.969999
2021-08-05,0.005987499,17.280001
2021-08-06,0.001673882,16.15
2021-08-09,-0.000940368,16.719999
2021-08-10,0.000992209,16.790001
2021-08-11,0.001274896,16.17
2021-08-12,0.004137825,15.59
2021-08-13,0.001606034,15.45
2021-08-16,0.002617431,16.120001
2021-08-17,-0.00708577,17.91
2021-08-18,-0.01080664,21.57
2021-08-19,0.001255952,21.67
2021-08-20,0.008108577,18.559999
2021-08-23,0.008487698,17.15
2021-08-24,0.001494575,17.219999
2021-08-25,0.002217666,16.790001
2021-08-26,-0.005841963,18.84
2021-08-27,0.008769046,16.389999
2021-08-30,0.004297341,16.190001
2021-08-31,-0.001350057,16.48
2021-09-01,0.000311713,16.110001
2021-09-02,0.002838528,16.41
2021-09-03,-0.000335083,16.41
2021-09-07,-0.003401266,18.139999
2021-09-08,-0.001319445,17.959999
2021-09-09,-0.004616238,18.799999
2021-09-10,-0.007752618,20.950001
2021-09-13,0.002273922,19.370001
2021-09-14,-0.005763174,19.459999
2021-09-15,0.008438207,18.18
2021-09-16,-0.001552301,18.690001
2021-09-17,-0.009152683,20.809999
2021-09-20,-0.01712302,25.709999
2021-09-21,-0.00081268,24.360001
2021-09-22,0.009474541,20.870001
2021-09-23,0.012061716,18.629999
2021-09-24,0.001459943,17.75
2021-09-27,-0.002780218,18.76
2021-09-28,-0.020574322,23.25
2021-09-29,0.001567936,22.559999
2021-09-30,-0.011981221,23.139999
2021-10-01,0.011425952,21.1
2021-10-04,-0.013070934,22.959999
2021-10-05,0.010469459,21.299999
2021-10-06,0.004094494,21
2021-10-07,0.008264048,19.540001
2021-10-08,-0.001915574,18.77
2021-10-11,-0.006889464,20
2021-10-12,-0.002419697,19.85
2021-10-13,0.003017978,18.639999
2021-10-14,0.01691917,16.860001
2021-10-15,0.007432442,16.299999
2021-10-18,0.003369123,16.309999
2021-10-19,0.00736616,15.7
2021-10-20,0.003657321,15.49
2021-10-21,0.002991427,15.01
2021-10-22,-0.001073155,15.43
2021-10-25,0.004736942,15.24
2021-10-26,0.001818129,15.98
2021-10-27,-0.0050644,16.98
2021-10-28,0.009781344,16.530001
2021-10-29,0.001947446,16.26
2021-11-01,0.00179845,16.41
2021-11-02,0.003673611,16.030001
2021-11-03,0.006440511,15.1
2021-11-04,0.004173172,15.44
2021-11-05,0.003725908,16.48
2021-11-08,0.000887307,17.219999
2021-11-09,-0.003504869,17.780001
2021-11-10,-0.008259834,18.73
2021-11-11,0.000550776,17.66
2021-11-12,0.007196681,16.290001
2021-11-15,-1.06773E-05,16.49
2021-11-16,0.003857758,16.370001
2021-11-17,-0.00260502,17.110001
2021-11-18,0.00337904,17.59
2021-11-19,-0.001399628,17.91
2021-11-22,-0.003202254,19.17
2021-11-23,0.001655707,19.379999
2021-11-24,0.002291274,18.58
2021-11-26,-0.022987045,28.620001
2021-11-29,0.013113857,22.959999
2021-11-30,-0.019143377,27.190001
2021-12-01,-0.01188555,31.120001
2021-12-02,0.014094626,27.950001
2021-12-03,-0.008484473,30.67
2021-12-06,0.011662655,27.18
2021-12-07,0.020495586,21.889999
2021-12-08,0.003080544,19.9
2021-12-09,-0.007207038,21.58
2021-12-10,0.009503807,18.690001
2021-12-13,-0.0091782,20.309999
2021-12-14,-0.007498643,21.889999
2021-12-15,0.016216213,19.290001
2021-12-16,-0.008781826,20.57
2021-12-17,-0.010341011,21.57
2021-12-20,-0.011453373,22.870001
2021-12-21,0.017621764,21.01
2021-12-22,0.010128711,18.629999
2021-12-23,0.006204417,17.959999
2021-12-27,0.013744072,17.68
2021-12-28,-0.001010698,17.540001
2021-12-29,0.001400922,16.950001
2021-12-30,-0.002994218,17.33
2021-12-31,-0.002629675,17.219999
2022-01-03,0.006353849,16.6
2022-01-04,-0.000629816,16.91
2022-01-05,-0.019583273,19.73
2022-01-06,-0.000964176,19.610001
2022-01-07,-0.004058437,18.76
2022-01-10,-0.001442125,19.4
2022-01-11,0.009118332,18.41
2022-01-12,0.002813734,17.620001
2022-01-13,-0.014345962,20.309999
2022-01-14,0.000819577,19.190001
2022-01-18,-0.018559055,22.790001
2022-01-19,-0.009736769,23.85
2022-01-20,-0.01109879,25.59
2022-01-21,-0.019095986,28.85
2022-01-24,0.002767918,29.9
2022-01-25,-0.012246662,31.16
2022-01-26,-0.001497753,31.959999
2022-01-27,-0.005398541,30.49
2022-01-28,0.024055892,27.66
2022-01-31,0.018709892,24.83
2022-02-01,0.006839509,21.959999
2022-02-02,0.009378435,22.09
2022-02-03,-0.024693484,24.35
2022-02-04,0.005143713,23.219999
2022-02-07,-0.003708655,22.860001
2022-02-08,0.008366131,21.440001
2022-02-09,0.014412812,19.959999
2022-02-10,-0.018281804,23.91
2022-02-11,-0.019151696,27.360001
2022-02-14,-0.003847942,28.33
2022-02-15,0.015643739,25.700001
2022-02-16,0.000880833,24.290001
2022-02-17,-0.021400503,28.110001
2022-02-18,-0.007192042,27.75
2022-02-22,-0.010194654,28.809999
2022-02-23,-0.01858379,31.02
2022-02-24,0.01484606,30.32
2022-02-25,0.022126148,27.59
